,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_U
0,892,3,0,34.5,0,0,7.8292,1,1,0,0,0,0,0,0,0,1
1,893,3,1,47.0,1,0,7.0,3,0,1,0,0,0,0,0,0,1
2,894,2,0,62.0,0,0,9.6875,1,1,0,0,0,0,0,0,0,1
3,895,3,0,27.0,0,0,8.6625,1,0,1,0,0,0,0,0,0,1
4,896,3,1,22.0,1,1,12.2875,3,0,1,0,0,0,0,0,0,1
5,897,3,0,14.0,0,0,9.225,1,0,1,0,0,0,0,0,0,1
6,898,3,1,30.0,0,0,7.6292,2,1,0,0,0,0,0,0,0,1
7,899,2,0,26.0,1,1,29.0,1,0,1,0,0,0,0,0,0,1
8,900,3,1,18.0,0,0,7.2292,3,0,0,0,0,0,0,0,0,1
9,901,3,0,21.0,2,0,24.15,1,0,1,0,0,0,0,0,0,1
10,902,3,0,27.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
11,903,1,0,46.0,0,0,26.0,1,0,1,0,0,0,0,0,0,1
12,904,1,1,23.0,1,0,82.2667,3,0,1,1,0,0,0,0,0,0
13,905,2,0,63.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
14,906,1,1,47.0,1,0,61.175,3,0,1,0,0,0,1,0,0,0
15,907,2,1,24.0,1,0,27.7208,3,0,0,0,0,0,0,0,0,1
16,908,2,0,35.0,0,0,12.35,1,1,0,0,0,0,0,0,0,1
17,909,3,0,21.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
18,910,3,1,27.0,1,0,7.925,2,0,1,0,0,0,0,0,0,1
19,911,3,1,45.0,0,0,7.225,3,0,0,0,0,0,0,0,0,1
20,912,1,0,55.0,1,0,59.4,1,0,0,0,0,0,0,0,0,1
21,913,3,0,9.0,0,1,3.1708,4,0,1,0,0,0,0,0,0,1
22,914,1,1,27.0,0,0,31.6833,3,0,1,0,0,0,0,0,0,1
23,915,1,0,21.0,0,1,61.3792,1,0,0,0,0,0,0,0,0,1
24,916,1,1,48.0,1,3,262.375,3,0,0,1,0,0,0,0,0,0
25,917,3,0,50.0,1,0,14.5,1,0,1,0,0,0,0,0,0,1
26,918,1,1,22.0,0,1,61.9792,2,0,0,1,0,0,0,0,0,0
27,919,3,0,22.5,0,0,7.225,1,0,0,0,0,0,0,0,0,1
28,920,1,0,41.0,0,0,30.5,1,0,1,0,0,0,0,0,0,0
29,921,3,0,27.0,2,0,21.6792,1,0,0,0,0,0,0,0,0,1
30,922,2,0,50.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
31,923,2,0,24.0,2,0,31.5,1,0,1,0,0,0,0,0,0,1
32,924,3,1,33.0,1,2,20.575,3,0,1,0,0,0,0,0,0,1
33,925,3,1,27.0,1,2,23.45,3,0,1,0,0,0,0,0,0,1
34,926,1,0,30.0,1,0,57.75,1,0,0,0,1,0,0,0,0,0
35,927,3,0,18.5,0,0,7.2292,1,0,0,0,0,0,0,0,0,1
36,928,3,1,27.0,0,0,8.05,2,0,1,0,0,0,0,0,0,1
37,929,3,1,21.0,0,0,8.6625,2,0,1,0,0,0,0,0,0,1
38,930,3,0,25.0,0,0,9.5,1,0,1,0,0,0,0,0,0,1
39,931,3,0,27.0,0,0,56.4958,1,0,1,0,0,0,0,0,0,1
40,932,3,0,39.0,0,1,13.4167,1,0,0,0,0,0,0,0,0,1
41,933,1,0,27.0,0,0,26.55,1,0,1,0,0,1,0,0,0,0
42,934,3,0,41.0,0,0,7.85,1,0,1,0,0,0,0,0,0,1
43,935,2,1,30.0,0,0,13.0,3,0,1,0,0,0,0,0,0,1
44,936,1,1,45.0,1,0,52.5542,3,0,1,0,0,1,0,0,0,0
45,937,3,0,25.0,0,0,7.925,1,0,1,0,0,0,0,0,0,1
46,938,1,0,45.0,0,0,29.7,1,0,0,0,0,0,0,0,0,0
47,939,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
48,940,1,1,60.0,0,0,76.2917,3,0,0,0,0,1,0,0,0,0
49,941,3,1,36.0,0,2,15.9,3,0,1,0,0,0,0,0,0,1
50,942,1,0,24.0,1,0,60.0,1,0,1,0,1,0,0,0,0,0
51,943,2,0,27.0,0,0,15.0333,1,0,0,0,0,0,0,0,0,1
52,944,2,1,20.0,2,1,23.0,2,0,1,0,0,0,0,0,0,1
53,945,1,1,28.0,3,2,263.0,2,0,1,0,1,0,0,0,0,0
54,946,2,0,27.0,0,0,15.5792,1,0,0,0,0,0,0,0,0,1
55,947,3,0,10.0,4,1,29.125,4,1,0,0,0,0,0,0,0,1
56,948,3,0,35.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
57,949,3,0,25.0,0,0,7.65,1,0,1,0,0,0,0,1,0,0
58,950,3,0,27.0,1,0,16.1,1,0,1,0,0,0,0,0,0,1
