v1,v2,length
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,102
0,ok lar joking wif u oni,23
1,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,149
0,u dun say early hor u c already say,43
0,nah dont think goes usf lives around though,59
1,freemsg hey darling 3 weeks word back id like fun still tb ok xxx std chgs send å£150 rcv,140
0,even brother like speak treat like aids patent,75
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,154
1,winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hours,152
1,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030,152
0,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,103
1,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,128
1,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,148
0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,192
0,date sunday,33
1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,138
0,oh kim watching,20
0,eh u remember 2 spell name yes v naughty make v wet,76
0,fine thatåõs way u feel thatåõs way gota b,57
1,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,148
0,seriously spell name,40
0,iû÷m going try 2 months ha ha joking,49
0,ì pay first lar da stock comin,46
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,85
0,ffffffffff alright way meet sooner,55
0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,137
0,lol always convincing,29
0,catch bus frying egg make tea eating moms left dinner feel love,128
0,im back amp packing car ill let know theres room,68
0,ahhh work vaguely remember feel like lol,60
0,wait thats still clear sure sarcastic thats x doesnt want live us,126
0,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheers,182
0,k tell anything,28
0,fear fainting housework quick cuppa,83
1,thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged,157
0,yup ok go home look timings msg ì xuhui going learn 2nd may lesson 8am,116
0,oops ill let know roommates done,44
0,see letter b car,28
0,anything lor u decide,21
0,hello hows saturday go texting see youd decided anything tomo im trying invite anything,148
0,pls go ahead watts wanted sure great weekend abiola,79
0,forget tell want need crave love sweet arabian steed mmmmmm yummy,127
1,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow,167
0,seeing,18
0,great hope like man well endowed ltgt inches,62
0,callsmessagesmissed calls,28
0,didnt get hep b immunisation nigeria,43
0,fair enough anything going,29
0,yeah hopefully tyler cant could maybe ask around bit,65
0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers,141
0,thinked first time saw class,56
0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,113
0,k fyi x ride early tomorrow morning hes crashing place tonight,79
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,275
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,115
0,know mallika sherawat yesterday find lturlgt,70
1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,149
0,sorry ill call later meeting,31
0,tell reached,22
0,yesgauti sehwag odi series,37
0,gonna pick 1 burger way home cant even move pain killing,103
0,ha ha ha good joke girls situation seekers,46
0,part checking iq,25
0,sorry roommates took forever ok come,54
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,108
1,valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589,150
0,today song dedicated day song u dedicate send ur valuable frnds first rply,114
1,urgent ur awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj,151
1,hear new divorce barbie comes kens stuff,73
0,plane give month end,33
0,wah lucky man save money hee,37
0,finished class,28
0,hi babe im home wanna something xx,44
0,kkwhere youhow performed,36
0,u call,17
0,waiting machan call free,41
0,thats cool gentleman treat dignity respect,71
0,like peoples much shy pa,47
0,operate ltgt,37
0,still looking job much tas earn,72
0,sorry ill call later,20
0,k call ah,30
0,ok way home hi hi,32
0,place man,36
0,yup next stop,13
0,call later dont network urgnt sms,50
0,real u getting yo need 2 tickets one jacket im done already used multis,117
0,yes started send requests make pain came back im back bed double coins factory gotta cash nitros,140
0,im really still tonight babe,41
0,ela kanoil download come wen ur free,36
0,yeah donû÷t stand close tho youû÷ll catch something,59
0,sorry pain ok meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets sorry,190
0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling,139
1,please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize,137
0,havent planning buy later check already lido got 530 show e afternoon u finish work already,104
1,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml,119
0,watching telugu moviewat abt u,30
0,see finish loads loans pay,50
0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,175
0,please dont text anymore nothing else say,54
0,okay name ur price long legal wen pick u ave x ams xx,79
0,im still looking car buy gone 4the driving test yet,73
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,154
0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,175
0,umma life vava umma love lot dear,44
0,thanks lot wishes birthday thanks making birthday truly memorable,93
0,aight ill hit get cash,41
0,would ip address test considering computer isnt minecraft server,81
0,know grumpy old people mom like better lying always one play jokes,109
0,dont worry guess hes busy,27
0,plural noun research,39
0,going dinnermsg,29
0,im ok wif cos like 2 try new things scared u dun like mah cos u said loud,92
1,gent trying contact last weekends draw shows å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,153
0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,128
0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,143
1,winner u specially selected 2 receive å£1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18,146
0,goodo yes must speak friday eggpotato ratio tortilla needed,68
0,hmmmy uncle informed hes paying school directly pls buy food,80
1,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires,141
1,urgent mobile awarded å£2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm,151
0,new address applespairsall malarky,50
1,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app,154
0,going sao mu today done 12,51
0,ìï predict wat time ìll finish buying,37
0,good stuff,18
0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,235
0,room,21
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,103
0,kkhow much cost,23
0,im home,7
0,dear call tmorrowpls accomodate,36
0,first answer question,24
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 å£150 sptyrone,121
1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p,154
0,haf msn yijuehotmailcom,34
0,call meet,33
0,check rooms befor activities,45
1,youll rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try,151
0,got c lazy type forgot ì lect saw pouch like v nice,73
0,k text youre way,31
0,sir waiting mail,25
0,swt thought nver get tired little things 4 lovable persons cozsomtimes little things occupy biggest part hearts gud ni8,147
0,know pls open back,40
0,yes see ya dot,25
0,whats staff name taking class us,47
1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end,152
0,ummmawill call check inour life begin qatar pls pray hard,81
0,ki deleted contact,30
0,sindu got job birla soft,28
0,wine flowing im nevering,42
0,yup thk cine better cos need 2 go 2 plaza mah,58
0,ok ur typical reply,19
