PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_U
892,3,0,34.5,0,0,7.8292,1,1,0,0,0,0,0,0,0,1
893,3,1,47.0,1,0,7.0,3,0,1,0,0,0,0,0,0,1
894,2,0,62.0,0,0,9.6875,1,1,0,0,0,0,0,0,0,1
895,3,0,27.0,0,0,8.6625,1,0,1,0,0,0,0,0,0,1
896,3,1,22.0,1,1,12.2875,3,0,1,0,0,0,0,0,0,1
897,3,0,14.0,0,0,9.225,1,0,1,0,0,0,0,0,0,1
898,3,1,30.0,0,0,7.6292,2,1,0,0,0,0,0,0,0,1
899,2,0,26.0,1,1,29.0,1,0,1,0,0,0,0,0,0,1
900,3,1,18.0,0,0,7.2292,3,0,0,0,0,0,0,0,0,1
901,3,0,21.0,2,0,24.15,1,0,1,0,0,0,0,0,0,1
902,3,0,27.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
903,1,0,46.0,0,0,26.0,1,0,1,0,0,0,0,0,0,1
904,1,1,23.0,1,0,82.2667,3,0,1,1,0,0,0,0,0,0
905,2,0,63.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
906,1,1,47.0,1,0,61.175,3,0,1,0,0,0,1,0,0,0
907,2,1,24.0,1,0,27.7208,3,0,0,0,0,0,0,0,0,1
908,2,0,35.0,0,0,12.35,1,1,0,0,0,0,0,0,0,1
909,3,0,21.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
910,3,1,27.0,1,0,7.925,2,0,1,0,0,0,0,0,0,1
911,3,1,45.0,0,0,7.225,3,0,0,0,0,0,0,0,0,1
912,1,0,55.0,1,0,59.4,1,0,0,0,0,0,0,0,0,1
913,3,0,9.0,0,1,3.1708,4,0,1,0,0,0,0,0,0,1
914,1,1,27.0,0,0,31.6833,3,0,1,0,0,0,0,0,0,1
915,1,0,21.0,0,1,61.3792,1,0,0,0,0,0,0,0,0,1
916,1,1,48.0,1,3,262.375,3,0,0,1,0,0,0,0,0,0
917,3,0,50.0,1,0,14.5,1,0,1,0,0,0,0,0,0,1
918,1,1,22.0,0,1,61.9792,2,0,0,1,0,0,0,0,0,0
919,3,0,22.5,0,0,7.225,1,0,0,0,0,0,0,0,0,1
920,1,0,41.0,0,0,30.5,1,0,1,0,0,0,0,0,0,0
921,3,0,27.0,2,0,21.6792,1,0,0,0,0,0,0,0,0,1
922,2,0,50.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
923,2,0,24.0,2,0,31.5,1,0,1,0,0,0,0,0,0,1
924,3,1,33.0,1,2,20.575,3,0,1,0,0,0,0,0,0,1
925,3,1,27.0,1,2,23.45,3,0,1,0,0,0,0,0,0,1
926,1,0,30.0,1,0,57.75,1,0,0,0,1,0,0,0,0,0
927,3,0,18.5,0,0,7.2292,1,0,0,0,0,0,0,0,0,1
